service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Secret Manager,Secret access operations,1000.0,global,EE82-7A5E-871C,EBA7-264F-2D2C,0,
Secret Manager,Secret rotate operations,10.0,global,EE82-7A5E-871C,FED6-B22D-CEF1,0.35,
Secret Manager,Secret version replica storage,10.0,global,EE82-7A5E-871C,7756-ADEF-84F4,0.24,
Training,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in Netherlands,1152.0,europe-west4,C7E2-9256-1C43,48AB-35F4-009F,46.10569,
Training,Vertex AI: Training/Pipelines on N1 Predefined Instance Ram running in Netherlands,4320.0,europe-west4,C7E2-9256-1C43,6044-F246-06F3,23.17075,
Training,Vertex AI: Training/Pipelines on Nvidia Tesla T4 GPU running in Netherlands,288.0,europe-west4,C7E2-9256-1C43,0579-7FBA-40AE,115.92,
Cloud Run,Services CPU (Request-based billing) (Cloud Run CUD - 3 Year A4B6-DEDF-1A65),8000000000,global,152E-C115-5142,4856-B847-F1EB,159.36,
Cloud Run,Services Memory (Request-based billing) (Cloud Run CUD - 3 Year A4B6-DEDF-1A65),16000000000,global,152E-C115-5142,02A2-9231-36A6,33.2,
Cloud Run,Requests (Cloud Run CUD - 3 Year A4B6-DEDF-1A65),10000000,global,152E-C115-5142,2DA5-55D3-E679,2.656,
Editions (BigQuery),BigQuery Standard Edition for Netherlands (europe-west4),5.0,europe-west4,16B8-3DDA-9F10,5365-256B-49CE,160.6,
Editions (BigQuery),Active Logical Storage (europe-west4),20.0,europe-west4,16B8-3DDA-9F10,60BE-5B2B-987E,0.2,
Dataflow Classic (Dataflow),RAM Time Netherlands,3000.0,europe-west4,57D6-8E6B-2DE0,4065-9A96-4F92,11.92577,
Dataflow Classic (Dataflow),vCPU Time Batch Netherlands,800.0,europe-west4,57D6-8E6B-2DE0,678D-F403-CE7C,49.28,
,Shuffle chargeable data processed for Netherlands,0.0,europe-west4,57D6-8E6B-2DE0,4F5D-9865-16AE,0,
Dataflow Classic (Dataflow),Local Disk Time PD Standard Netherlands,0.0,europe-west4,57D6-8E6B-2DE0,CA4C-5EE7-B56C,0,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - vCPU in Americas,1460.0,us-central1,9662-B51E-5089,965E-7C36-08E6,60.298,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - RAM in Americas,5475.0,us-central1,9662-B51E-5089,93DA-3F55-CB04,38.325,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - Standard storage in Americas,73000.0,us-central1,9662-B51E-5089,C18F-7FE0-0717,17,
NAT Gateway (Networking),Networking Cloud Nat Gateway Uptime,7.0,global,E505-1604-58F8,32E2-4EFC-EF9F,7.154,
NAT Gateway (Networking),Networking Cloud Nat Data Processing,500.0,global,E505-1604-58F8,015F-5732-FFF0,22.5,
NAT Gateway (Networking),Networking Cloud NAT IP Usage,1.0,global,E505-1604-58F8,8515-9425-D2CE,3.65,
Cloud Logging (Cloud Operations),Log Storage cost,100.0,global,5490-F7B7-8DF6,143F-A1B0-E0BE,25,
Cloud Logging (Cloud Operations),Log Retention cost,200.0,global,5490-F7B7-8DF6,F4AE-5A52-ACE3,2,
Cloud Build,E2 cpu utilization per minute in the global region (Default Pool),4800.0,global,8B5D-EF7D-EB12,CBF1-961B-A33C,7.68,
Cloud Build,E2 ram utilization per minute in the global region (Default Pool),4320.0,global,8B5D-EF7D-EB12,63EE-19A6-EA84,1.512,
,SSD Utilization per GiBy month in global region (Default Pool),0.0,global,8B5D-EF7D-EB12,3EE9-1ED7-A340,0,
Cloud Storage,Standard Storage Netherlands,700.0,europe-west4,95FF-2EF5-5EA1,89D8-0CF9-9F2E,14,
,,,,,,,
,,,,,Total Price:,802.12721,
,,,,,,,
"Prices are in US dollars, effective date is 2026-06-05T15:46:34.905Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJqTjJabVltVXdZUzB5Tm1ZNUxUUmxPVEV0T0Rka09DMWxZMkZsTkRVeE5tSTBOV0VRQVE9PRokRDlDMjc3MDktNTZEMi00ODdELTk2QzEtMkY2RkE5QUFERjRD,,,,,,
